ORDER	SENTENCE	STATUS	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
22001	მართალია, თავიდან გადაწყვიტეს, რომ სესიები თვის პირველ პარასკევს გაიმართება, მაგრამ ბოლო ორ შემთხვევაში ეს გადაწყვეტილება არ შესრულდა.	Y	გადაწყვიტეს	2430	    773	0.003	798.9412	geo_news_2016_00509253
22002	თუ ეს ასეა, თუ მათ გადაწყვიტეს, რომ ეს გადაცემა უნდა დაიხუროს, ან მე აღარ უნდა ვიყო მისი წამყვანი - რატომ, რა არგუმენტები არსებობს ამისთვის.	Y	გადაწყვიტეს	2430	    773	0.003	825.55	geo_news_2016_00371344
22003	ცოტა ხნის წინ მათ გადაწყვიტეს, რომ აუცილებელია ძალების გაერთიანება, რათა არსებობს პრობლემები, რომელთა გადაჭრაც მხოლოდ ერთობლივი ძალისხმევით არის შესაძლებელი.	Y	გადაწყვიტეს	2430	    773	0.003	845.2632	geo_news_2019_00953745
22004	ახლა კი, როგორც ჩანს, გადაწყვიტეს საქართველოს შემთხვევა ევროპის პარლამენტს ცალკე შესთავაზონ.	Y	გადაწყვიტეს	2430	    773	0.003	879.3636	geo_news_2019_00145539
22005	მისი თქმით, გასულ წლებში პროექტის ორგანიზატორებმა კარგი შედეგი მიიღეს და ამიტომ გადაწყვიტეს, გაემეორებინათ.	Y	გადაწყვიტეს	2430	    773	0.003	894.6923	geo_news_2016_00576102
22006	ეს არ არის სასტუმრო, მაგრამ ეს უნდა იყოს ისეთი ადგილი, სადაც პაციენთი თავ,ს რაც შეიძლება კარგად, მშვიდად და დაცულად იგრძნობს“.	Y	თავ	2430	    773	0.003	774.7	geo_news_2016_00291899
22007	ამ თავ-ში წერია: და იყო მერვე დღეს.	Y	თავ	2430	    773	0.003	815	geo_news_2019_00052674
22008	ეს დარ­ბა­ზი 1941 წლის მა­ის­ში ფა­შის­ტუ­რი ძა­ლე­ბის და­მან­გ­რე­ვე­ლი სა­ჰა­ე­რო თავ­დას­ხ­მის დრო­საც არ და­ზა­რა­ლე­ბუ­ლა.	Y	თავ	2430	    773	0.003	826.6111	geo_news_2016_00299884
22009	ეს და­ვა­ლი­ა­ნე­ბა ჩვენს თავ­ზე ავი­ღეთ.	Y	თავ	2430	    773	0.003	833.5	geo_news_2016_00299724
22010	ის რაც უკ­რა­ი­ნა­ში ხდე­ბა, სა­ქარ­თ­ვე­ლო­საც ეხე­ბა და ჩვენს თავ­ზეც გა­და­ვი­და ის პო­ლი­ტი­კა, რა­საც რუ­სე­თი მი­მარ­თავს.	Y	თავ	2430	    773	0.003	835.9375	geo_news_2016_00429963
22011	ყველაზე მეტი ფაქტი თბილისში მოხდა, ყველაზე ნაკლები კი სამცხე-ჯავახეთში.	Y	სამცხე	2430	    773	0.003	826.2222	geo_news_2019_00880539
22012	როგორ მიმდინარეობს სამცხე-ჯავახეთში საყოველთაო ჯანდაცვის პროგრამა, - ამ საკითხზე დღეს საქართველოს ჯანდაცვის მინისტრის მოადგილემ და სოციალური მომსახურების სააგენტოს უფროსმა რეგიონში არსებული სამედიცინო დაწესებულებების წარმომადგენლებთან ისაუბრეს.	Y	სამცხე	2430	    773	0.003	924.4167	geo_news_2019_00708757
22013	მანამდე კი შსს-ს სახელმწიფო უსაფრთხოების სააგენტოს (დეპარტამენტი) სამცხე-ჯავახეთის რეგიონული სამმართველოს უფროსი იყო.	Y	სამცხე	2430	    773	0.003	934	geo_news_2019_00506258
22014	აღნიშნული პროექტი ხორციელდება თბილისში, სამცხე-ჯავახეთში და აჭარის რეგიონში.	Y	სამცხე	2430	    773	0.003	954.7778	geo_news_2019_00133603
22015	ამ მხრივ, სამცხე-ჯავახეთს ძალიან დიდი პერსპექტივა აქვს.	Y	სამცხე	2430	    773	0.003	1064.875	geo_news_2016_00079948
22016	როგორიც არ უნდა ყოფილიყო ის მისი მამა იყო და უყვარდა.	Y	უყვარდა	2430	    773	0.003	496.3	geo_news_2019_00708592
22017	ის იყო ძალიან კარგი მეგობარი და მთელ ჩემს ოჯახს ძალიან უყვარდა.	Y	უყვარდა	2430	    773	0.003	563.1	geo_news_2019_00426768
22018	არ უყვარდა მსგავსი შეხვედრები,მაგრამ ამ შემთხვევაში სხვა გამოსავალი არ იყო.	Y	უყვარდა	2430	    773	0.003	647.2	geo_news_2019_00102509
22019	მას უყვარდა თავისი ხალხი და დიდი როლი შეასრულა საქართველოს განვითარებისთვის.	Y	უყვარდა	2430	    773	0.003	776.8	geo_news_2016_00515893
22020	გავიდა დრო და თეა მიხვდა, რომ გოჩა უყვარდა.	Y	უყვარდა	2430	    773	0.003	1182.625	geo_news_2019_00178107
22021	მაგრამ არის ერთი მნიშვნელოვანი თვისება, რომელიც მათ აერთიანებს.	Y	აერთიანებს	2431	    772	0.003	680.375	geo_news_2016_00479996
22022	ეს არის პასუხისმგებლობა და მიზანი, რომელიც აერთიანებს ჩვენს ხალხს და ჩვენი ძალა ერთობაშია.	Y	აერთიანებს	2431	    772	0.003	753.5833	geo_news_2016_00294452
22023	სტატიაში გაჩვენებთ, იმის მიუხედავად, რომ ყველა ადამიანი განსხვავებულია, არსებობს ბევრი რამ, რაც მათ აერთიანებს.	Y	აერთიანებს	2431	    772	0.003	827.9286	geo_news_2019_00808261
22024	კოალიცია სხვადასხვა პოლიტიკურ ძალებს აერთიანებს და ერთიანი ვერ იქნება.	Y	აერთიანებს	2431	    772	0.003	834.5556	geo_news_2019_00461414
22025	თამაში,რომელიც სოციალურ ქსელში დაიწყო, დღეს უკვე ასობით ადამიანს და წიგნს აერთიანებს.	Y	აერთიანებს	2431	    772	0.003	840.25	geo_news_2016_00355431
22026	გიორგი კვირიკაშვილი არის იმ პოლიტიკური ოჯახის წარმომადგენელი, სადაც ირაკლი ღარიბაშვილი არის და მემგონი იქნება აღიარებული ერთ-ერთი ლიდერი, როგორც ბიძინა ივანიშვილი, - განაცხადა ვოლსკიმ.	Y	აღიარებული	2431	    772	0.003	683.0909	geo_news_2016_00218095
22027	ჩემი წინადადების მიხედვით, სრულიად საქართველო, მისი საერთაშორისოდ აღიარებული საზღვრებით ხდება ნატოს წევრი, მაგრამ საქართველოს მხოლოდ ის ნაწილი ხვდება მე-5 მუხლის ქვეშ, რომელიც რუსეთის მიერ არ არის ოკუპირებული.	Y	აღიარებული	2431	    772	0.003	690.2222	geo_news_2019_00930694
22028	ამჟამად ეს ორი ეკლესია არ არის აღიარებული არც ერთი კანონიკური ეკლესიის მიერ.	Y	აღიარებული	2431	    772	0.003	732	geo_news_2016_00082730
22029	როგორც მან განაცხადა, სსფ-ის მიერ არაერთხელ იქნა აღიარებული, რომ მაღალი მოსალოდნელი ზრდა, სწორედ მთავრობის მიერ გატარებული ეკონომიკური რეფორმების შედეგად არის მოსალოდნელი.	Y	აღიარებული	2431	    772	0.003	748.1	geo_news_2019_00715721
22030	გვჯერა, რომ მთელი მომავალი წლის განმავლობაში ეს საკითხი მთავრობის მიერ უმაღლეს პრიორიტეტად იქნება აღიარებული.	Y	აღიარებული	2431	    772	0.003	770.8571	geo_news_2016_00214921
22031	ეს სამოქალაქო საზოგადოების მხრიდან ძალიან სერიოზული განაცხადი იყო.	Y	განაცხადი	2431	    772	0.003	505.875	geo_news_2019_00307325
22032	ეს იქნება რეალური შედეგი და არა მხოლოდ კონკრეტული თანამდებობის პირის მიერ გაკეთებული განაცხადი.	Y	განაცხადი	2431	    772	0.003	627.7692	geo_news_2019_00299340
22033	მოგეხსენებათ, ცნობილი გახდა საქართველოს ეროვნული ნაკრების განაცხადი.	Y	განაცხადი	2431	    772	0.003	736.4286	geo_news_2019_00593600
22034	იგივე განაცხადი აქვს გაკეთებული სოციალური მომსახურების სააგენტოს.	Y	განაცხადი	2431	    772	0.003	875.1429	geo_news_2016_00397388
22035	სექტემბერში კომპანიამ განაცხადა, რომ უკვე შეტანილი აქვს განაცხადი ენერგეტიკის დეპარტამენტის კონკურსში მონაწილეობის მისაღებად.	Y	განაცხადი	2431	    772	0.003	1182.7692	geo_news_2016_00809450
22036	როდესაც მე ვიღაცას ვუპირისპირდები, ეს ხდება ღიად და მე იმ გუნდის წევრი არ ვიქნები, რომელსაც ვუპირისპირდები.	Y	ვიღაცას	2431	    772	0.003	765.9286	geo_news_2016_00732618
22037	დიახ, ის არის და ეს არაა კარგი, რომ ვიღაცას, ვინც არ არის არჩეული ამხელა გავლენა აქვს, მაგრამ ეს ქართული პოლიტიკის სინამდვილეა.	Y	ვიღაცას	2431	    772	0.003	778.9474	geo_news_2019_00253049
22038	როგორც ჩანს, ვიღაცას არ აწყობს ამ საქმის და კიდევ არაერთი საქმის გამოძიება, რომელიც პრობლემურია.	Y	ვიღაცას	2431	    772	0.003	808.6154	geo_news_2016_00728541
22039	სამწუხაროდ, ჩვენი კონსტიტუცია იმიტომ არის ასე არეული, რომ პრეზიდენტს უნდოდა ერთი, ვიღაცას უნდოდა სხვა რამე.	Y	ვიღაცას	2431	    772	0.003	847.2857	geo_news_2016_00773490
22040	ეს ვიღაცას სჭირდება პოლიტიკური კონიუნქტურისთვის, რომ ეს არ მუშაობს, ის არ მუშაობს, მე ვმუშაობ.	Y	ვიღაცას	2431	    772	0.003	861.3636	geo_news_2016_00301787
22041	გარდა ამისა, ჩვენთვის განსაკუთრებული მნიშვნელობა აქვს მონიტორინგს, თუ ვინ მოახდენს უშუალოდ ამ პროცესის მონიტორინგს.	Y	მოახდენს	2431	    772	0.003	753.7692	geo_news_2016_00204104
22042	ყველაზე დიდი პრობლემა აქ არის დროის ფაქტორი, რადგან თუკი უზენაესი სასამართლო მიიღებს გადაწყვეტილებას, მერე საკონსტიტუციო სასამართლოს მიერ მიღებული გადაწყვეტილება, რა შინაარსისაც არ უნდა იყოს, ჩვენი უფლებების დაცვაზე ვეღარანაირ გავლენას ვეღარ მოახდენს.	Y	მოახდენს	2431	    772	0.003	782.3226	geo_news_2016_00885576
22043	მათ უნდათ რაღაც ისეთი მოიფიქრონ, რაც უფრო მეტად მოახდენს გალის რაიონის მოსახლეობის უფრო მეტ ინტეგრაციას აფხაზურ საზოგადოებაში, მაგრამ ეს ძალიან რთული თემაა და ასე ერთ და ორ დღეში კი არა ერთ და ორ წელიწადში არ ხდება,-განაცხადა ზაქარეიშვილმა.	Y	მოახდენს	2431	    772	0.003	846.0303	geo_news_2016_00494052
22044	რა თქმა უნდა, ყველას სურს ერთ დღეს ამის ნორმალიზება, მაგრამ ფაქტია, ვიდრე რუსეთი აფხაზეთის და სამხრეთ ოსეთის დეოკუპაციას არ მოახდენს, ეს არ მოხდება,”- განაცხადა ნინა იანკოვიჩმა.	Y	მოახდენს	2431	    772	0.003	849.16	geo_news_2019_00681259
22045	ჩვენი კვლევა ვერ მოახდენს გავლენას არჩევნებზე, ის ძალიან ადრე გამოქვეყნდა, არჩევნებამდე ბევრი რამ შეიძლება მოხდეს.	Y	მოახდენს	2431	    772	0.003	849.4667	geo_news_2016_00942161
22046	ქართველი ხალხი არის ის უზენაესი მოქმედი პირი ქვეყანაში, რომელიც განსაზღვრავს პოლიტიკურ პროცესებს,-განაცხადა მან.	Y	პროცესებს	2431	    772	0.003	635.9286	geo_news_2016_00871521
22047	რა შეეხება პროცესებს, რომელიც ვითარდება, მე ძალიან კმაყოფილი ვარ.	Y	პროცესებს	2431	    772	0.003	740.8889	geo_news_2019_00693466
22048	საქართველოში დღეს პოლიტიკურ პროცესებს მართავს ბიძინა ივანიშვილი.	Y	პროცესებს	2431	    772	0.003	818.5714	geo_news_2016_00797121
22049	საუბარი ასევე შეეხო ქვეყანაში მიმდინარე სამართლებრივ პროცესებს.	Y	პროცესებს	2431	    772	0.003	948.1429	geo_news_2016_00783495
22050	ის „რუსთავი 2″-ის გარშემო განვითარებულ პროცესებს გამოეხმაურა.	Y	პროცესებს	2431	    772	0.003	1295	geo_news_2019_00429972
22051	ვფიქრობ, რომ ეს ტენდენცია არის ძალიან მნიშვნელოვანი.	Y	ტენდენცია	2431	    772	0.003	430.7143	geo_news_2016_00340204
22052	ეს ტენდენცია ხომ არ ნიშნავს, რომ ადგილობრივი თვითმმართველობის არჩევნები მათთვის ნაკლებად მნიშვნელოვანია?	Y	ტენდენცია	2431	    772	0.003	547.0833	geo_news_2019_00308629
22053	მაგრამ არ არსებობს ისტორიული ტენდენცია ან ისტორიული ჯგუფი, რომელიც ამას გააკეთებს.	Y	ტენდენცია	2431	    772	0.003	627.1	geo_news_2019_00485068
22054	უწყების ხელმძღვანელის ინფორმაციით, ამ მიმართულებით არის დადებითი ტენდენცია.	Y	ტენდენცია	2431	    772	0.003	863.25	geo_news_2016_00857904
22055	წლის ბოლოს შესაძლოა განსხვავებული სურათი გვქონდეს, თუმცა, ტენდენცია ჯერჯერობით კარგია.	Y	ტენდენცია	2431	    772	0.003	991	geo_news_2019_00973072
22056	დიდი იმედი მაქვს, რომ რუსეთის ხელისუფლება შეძლებს თავისი ვალდებულებების შესრულებას,”- აღნიშნა მან.	Y	შესრულებას	2431	    772	0.003	651.4167	geo_news_2016_00257456
22057	რაც შეეხება დაპირებების შესრულებას, მისი თქმით, ამ 3 წლის განმავლობაში ბევრ რამ გაკეთდა.	Y	შესრულებას	2431	    772	0.003	705.6667	geo_news_2016_00695601
22058	ეს არის ძალიან სერიოზული გადაწყვეტილება, რომელსაც მოყვება ის, რომ კვლავ ეროვნული ბანკი გააგრძელებს თავისი საქმიანობის შესრულებას, რომელიც კონსტიტუციით ჰქონდა განსაზღვრული.	Y	შესრულებას	2431	    772	0.003	762.2	geo_news_2016_00296628
22059	პროკურატურა, მიუხედავად იმისა, რომ გადაწყვეტილებაა მიღებული, დღემდე არ აპირებს მის შესრულებას.	Y	შესრულებას	2431	    772	0.003	785.3636	geo_news_2016_00674371
22060	დიდი იმედი მაქვს, რომ ამჯერად მაინც შეძლებს საქართველოს ხელისუფლება საკუთარი მოვალეობის შესრულებას, - წერს ჩერგოლეიშვილი.	Y	შესრულებას	2431	    772	0.003	787.5	geo_news_2016_00257441
22061	”როგორც ჩანს, რუსეთს კვლავ აქვს მხარდაჭერა ბევრ ადგილებში, მათ შორის საპატრიარქოშიც,” - განაცხადა მან.	Y	ადგილებში	2432	    771	0.003	674.8462	geo_news_2016_00728850
22062	ორი კვირის წინ კი ამ ადგილებში წყლის ნასახი არ იყო.	Y	ადგილებში	2432	    771	0.003	711.5	geo_news_2019_00642741
22063	ამ ადგილებში ყოველთვის უამრავი ტურისტია, წლის და დღის ნებისმიერ დროს.	Y	ადგილებში	2432	    771	0.003	738.4	geo_news_2019_00035008
