ORDER	SENTENCE	STATUS	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
18001	Nous aussi, on veut savoir ce qui s'est passé, et je n'ai jamais lu autant de c depuis une semaine.	Y	lu	2739	    1,574	0.0026	225.3182	fra_news_2009_00120898
18002	Sauf que si on a un peu suivi son parcours et lu son programme présidentiel, on sait qu'il n'en est rien.	Y	lu	2739	    1,574	0.0026	485.1905	fra_news_2010_00730903
18003	Il a Ã©tÃ© lu une premiÃ¨re fois le 1er octobre dernier.	Y	lu	2739	    1,574	0.0026	583.9231	fra_news_2009_00218349
18004	Les chiffres ne vont JUSTEMENT pas dans ton sens, j'ai donné un exemple très précis mais tu ne l'as pas lu.	Y	lu	2739	    1,574	0.0026	654.2381	fra_news_2008_00226417
18005	Même George W. Bush disait l'avoir lu.	Y	lu	2739	    1,574	0.0026	1373.125	fra_news_2010_00939844
18006	Pas de chiffres officiels des victimes, mais au moins 300 personnes y ont perdu la vie.	Y	officiels	2739	    1,574	0.0026	353.2667	fra_news_2008_00918065
18007	Pour les documents officiels, toutefois, c'est une autre histoire.	Y	officiels	2739	    1,574	0.0026	540.5	fra_news_2010_00824517
18008	Les résultats officiels ne sont pas attendus avant 21h.	Y	officiels	2739	    1,574	0.0026	649.6667	fra_news_2009_00787434
18009	Les scientifiques officiels ne font pas mieux.	Y	officiels	2739	    1,574	0.0026	814.7143	fra_news_2010_00815058
18010	Dix jours sans reprises, sans réactions, sans commentaires officiels.	Y	officiels	2739	    1,574	0.0026	1319.7143	fra_news_2009_00797864
18011	"""""""""""""""Celui qu'on a eu, c'est parce qu'il n'a pas réussi à s'échapper"""""""", dit-il."""""""	Y	échapper	2740	    1,573	0.0026	276.4375	fra_news_2008_00159654
18012	Par contre, il est difficile d'échapper aux frais de gestion.	Y	échapper	2740	    1,573	0.0026	459.6364	fra_news_2010_00281479
18013	Difficile d'y échapper avec nos derniers résultats.	Y	échapper	2740	    1,573	0.0026	527.625	fra_news_2009_00295930
18014	Nous avons mené cette attaque et réussi ensuite à nous échapper.	Y	échapper	2740	    1,573	0.0026	648.7	fra_news_2009_00143557
18015	Plus personne ne pourra échapper aux accusations de corruption.	Y	échapper	2740	    1,573	0.0026	910.5556	fra_news_2010_00634665
18016	"""""""Je n'étais pas capable d'expliquer pourquoi ça s'est passé, c'est pour ça que j'ai donné d'autres versions"""""""", a-t-il dit."""""""	Y	versions	2740	    1,573	0.0026	391.25	fra_news_2009_00737099
18017	On attend encore une date de sortie précise pour les deux versions.	Y	versions	2740	    1,573	0.0026	486	fra_news_2010_00162125
18018	De même, l'éditeur explique que toutes les versions de ses OS, Windows 7 compris seront touchés par cette vague de mise à jour.	Y	versions	2740	    1,573	0.0026	730.4762	fra_news_2010_00461299
18019	A présent nous avons toutes les bases pour les versions nouvelle génération.	Y	versions	2740	    1,573	0.0026	755.9091	fra_news_2008_00429393
18020	Les développeurs devront fournir des versions d'essai de leurs applications.	Y	versions	2740	    1,573	0.0026	1190.6364	fra_news_2010_00089072
18021	Ce n'est pas parce que les employés ne faisaient pas bien leur travail, mais il y avait un manque d'organisation.	Y	faisaient	2741	    1,572	0.0026	282.4286	fra_news_2008_00362619
18022	"""""""Faisaient"""""""" devrait-on dire car de nos jours les choses ont changé."""""""	Y	faisaient	2741	    1,572	0.0026	487.4167	fra_news_2008_00671195
18023	Les propos de M. Bush faisaient suite à une mise en garde de la Russie contre toute action militaire visant le programme nucléaire de Téhéran.	Y	faisaient	2741	    1,572	0.0026	628.1739	fra_news_2008_00227230
18024	Dans les années 60, les films faisaient encore peur.	Y	faisaient	2741	    1,572	0.0026	741.7143	fra_news_2008_00549434
18025	De précédentes déclarations faisaient état de 132 passagers dans l'avion.	Y	faisaient	2741	    1,572	0.0026	1182.5556	fra_news_2010_00359114
18026	Si Radio-Canada manque de fonds, c'est aussi parce que le gouvernement fédéral finance beaucoup moins son réseau national que le font l'Allemagne ou la France, par exemple.	Y	finance	2741	    1,572	0.0026	339.3214	fra_news_2009_00044468
18027	Représentants les milieux de la finance et des affaires, ils ne peuvent, par nature en quelque sorte, se tenir à l´écart du pouvoir pendant les cinq prochaines années.	Y	finance	2741	    1,572	0.0026	550.7143	fra_news_2009_00313393
18028	On a tous des proches qui vivent de la finance.Â»	Y	finance	2741	    1,572	0.0026	648	fra_news_2009_00335171
18029	Après près de quinze années d'existence, quel bilan pourrait-on faire de la micro finance au Sénégal ?	Y	finance	2741	    1,572	0.0026	765.4118	fra_news_2008_00039603
18030	Quelles sont les différentes formes d'institutions de micro-finance?	Y	finance	2741	    1,572	0.0026	1235.8	fra_news_2008_00909164
18031	Mais la réception de Marseille n'est pas une bonne nouvelle pour eux.	Y	réception	2741	    1,572	0.0026	346.6154	fra_news_2009_00246810
18032	Cela passe dès le week-end prochain par la réception de Marseille.	Y	réception	2741	    1,572	0.0026	526.5833	fra_news_2009_00084532
18033	"""""""""""""""Une réception d'avion, c'est un travail d'équipe, insiste-t-il."""""""	Y	réception	2741	    1,572	0.0026	599.8333	fra_news_2008_00706093
18034	La date limite pour la réception des dossiers est le 26 février prochain.	Y	réception	2741	    1,572	0.0026	693.3636	fra_news_2010_00676845
18035	Mauvaise qualité de réception, chaînes sans intérêt ?	Y	réception	2741	    1,572	0.0026	1105.1429	fra_news_2008_00797679
18036	La Banque de Maurice hausse d'un demi-point le taux d'intérêt.	Y	maurice	2742	    1,571	0.0026	440.8333	fra_news_2008_00967556
18037	Pas aussi longue que celle de Maurice Richard, mais tout de même.	Y	maurice	2742	    1,571	0.0026	518.3636	fra_news_2008_00700441
18038	Le défi des hommes de Paul Maurice va toutefois bien au-delà des chiffres.	Y	maurice	2742	    1,571	0.0026	623.0769	fra_news_2009_00441389
18039	A Maurice, quand ça monte, cest tout droit.	Y	maurice	2742	    1,571	0.0026	738.875	fra_news_2009_00638382
18040	Le PS Maurice Vincent espère en profiter.	Y	maurice	2742	    1,571	0.0026	1065.4286	fra_news_2008_00850973
18041	Ce n'est que la première course, nous avons encore le temps de progresser.» Il ne doit pas être le seul à le penser.	Y	progresser	2742	    1,571	0.0026	261.0455	fra_news_2009_00426039
18042	Comme toujours, notre premier objectif est de continuer à progresser.	Y	progresser	2742	    1,571	0.0026	470.4	fra_news_2009_00326193
18043	Il faut prendre de l'expérience, continuer à progresser.	Y	progresser	2742	    1,571	0.0026	568.2222	fra_news_2009_00835294
18044	J'ai maintenant très envie de voir de jeunes filles progresser.	Y	progresser	2742	    1,571	0.0026	666.5	fra_news_2008_00212088
18045	Je veux bien avancer et essayer de progresser.	Y	progresser	2742	    1,571	0.0026	1094.875	fra_news_2008_00187109
18046	Aujourd'hui, c'est près de 70% d'entre eux qui sont issus de cette zone.	Y	issus	2743	    1,570	0.0026	305	fra_news_2009_00708384
18047	"""""""Je ne parle pas de gens issus de l'immigration, je parle d'étrangers"""""""", a-t-il ajouté."""""""	Y	issus	2743	    1,570	0.0026	522.8667	fra_news_2010_00015955
18048	Au total, 125 millions de produits issus du jeu ont été vendus.	Y	issus	2743	    1,570	0.0026	602.3636	fra_news_2009_00608246
18049	Par contre l'Europe, marché historique de l'éditeur, marque un recul de 9% sur les revenus issus des logiciels.	Y	issus	2743	    1,570	0.0026	681.2941	fra_news_2010_00693828
18050	Les logiciels libres sont souvent issus de projets de développeurs.	Y	issus	2743	    1,570	0.0026	1249.8889	fra_news_2010_00821148
18051	Ce n'est pas l'analyse que font les opposants, qui sont déjà en campagne.	Y	opposants	2744	    1,569	0.0026	351.6667	fra_news_2008_00496862
18052	Et il sera, trente ans plus tard, un des premiers opposants à  la guerre en Irak.	Y	opposants	2744	    1,569	0.0026	470.6875	fra_news_2009_00403226
18053	Le siège des opposants se poursuit au poste de police.	Y	opposants	2744	    1,569	0.0026	597	fra_news_2008_00604337
18054	Ses opposants estiment pourtant que tout n'est pas rapporté.	Y	opposants	2744	    1,569	0.0026	748.1	fra_news_2009_00967870
18055	Une atteinte à l'autonomie des juges, estiment ses opposants.	Y	opposants	2744	    1,569	0.0026	1201.8	fra_news_2009_00594663
18056	Ce «quelqu'un», c'est bien sûr Michel Tremblay, avec qui il a fait équipe pendant plus de 30 ans.	Y	tremblay	2744	    1,569	0.0026	346.4211	fra_news_2010_00576988
18057	Cest un accident, et on ne sait pas ce qui sest passé réellement », a indiqué Bruno Tremblay.	Y	tremblay	2744	    1,569	0.0026	560.2778	fra_news_2010_00497282
18058	"""""""Vaste programme beaucoup plus facile à écrire qu'à faire, Tremblay dans sa salle sait ce que veut dire """"""""gagner"""""""" !"""""""	Y	tremblay	2744	    1,569	0.0026	640	fra_news_2008_00711544
18059	Le jeune Nicolas Tremblay n'a pas aimé.	Y	tremblay	2744	    1,569	0.0026	749.125	fra_news_2008_00955627
18060	Gilles Tremblay se rappelle avec plaisir ses moments avec le Canadien.	Y	tremblay	2744	    1,569	0.0026	1013.3	fra_news_2009_00298850
18061	Il y avait peu d'universités et 450 actuellement dans le pays.	Y	universités	2745	    1,568	0.0025	327.4545	fra_news_2010_00687907
18062	Ce n'est pas faux, mais il faut voir que durant ces dernières années, les universités ont fortement augmenté leurs activités en commun.	Y	universités	2745	    1,568	0.0025	477.4348	fra_news_2008_00735478
18063	Au deuxième jour de la grève lancée dans les Universités, le gouvernement a clairement décidé de jouer le bras fer jusqu'au bout.	Y	universités	2745	    1,568	0.0025	626.7	fra_news_2009_00663381
18064	Des dizaines de présidents d'universités ont aussi fait le déplacement.	Y	universités	2745	    1,568	0.0025	790.4545	fra_news_2010_00105819
18065	Nous avons créé des universités privées, des médias privés, des écoles et des banques privées.	Y	universités	2745	    1,568	0.0025	1090.0909	fra_news_2008_00385573
18066	Les clients avaient pris une chance d´appeler car ils n´étaient pas certains que le service était en fonction.	Y	appeler	2746	    1,567	0.0025	329.2	fra_news_2009_00705061
18067	Ils ont décidé de jouer sur l'une des places du quartier, malgré les menaces des habitants d'appeler la police et le risque d'un coup de soleil.	Y	appeler	2746	    1,567	0.0025	472.0769	fra_news_2009_00111983
18068	Pourquoi ne pas en appeler au Parlement ?	Y	appeler	2746	    1,567	0.0025	595.8571	fra_news_2008_00003348
18069	Raymond Domenech avait décidé de ne pas l'appeler pour disputer la Coupe du monde.	Y	appeler	2746	    1,567	0.0025	700.4	fra_news_2010_00304557
18070	J'AURAIS pu appeler ce disque Voix témoin.	Y	appeler	2746	    1,567	0.0025	1327.25	fra_news_2008_00511547
18071	"""""""De leur côté, """"""""les islamistes ont perdu pour le moment moins de cinq personnes."""""""	Y	islamistes	2746	    1,567	0.0025	327.9231	fra_news_2010_00018786
18072	Ce fut ensuite le tour des islamistes d´y organiser les leurs.	Y	islamistes	2746	    1,567	0.0025	527.3333	fra_news_2009_00448260
18073	Selon les autorités, cette attaque est un nouveau signe d'activité des militants islamistes dans ce pays d'Asie centrale voisin de l'Afghanistan.	Y	islamistes	2746	    1,567	0.0025	620.1739	fra_news_2010_00698238
18074	Les menaces de mort, cétait avec les islamistes.	Y	islamistes	2746	    1,567	0.0025	724	fra_news_2009_00191808
18075	Algérie: onze gendarmes tués par un groupe d'islamistes - Yahoo!	Y	islamistes	2746	    1,567	0.0025	1076.6	fra_news_2010_00333469
18076	Il est pourtant mis en cause par plusieurs autres policiers qui ont assisté à la scène.	Y	assisté	2747	    1,566	0.0025	332.625	fra_news_2008_00050129
18077	On a assisté à un match de grands champions.	Y	assisté	2747	    1,566	0.0025	470.1111	fra_news_2008_00969533
18078	La première délégation a assisté au match du 14 mars dernier.	Y	assisté	2747	    1,566	0.0025	554.6	fra_news_2009_00623304
18079	Jai donc assisté à cette fête de très loin.	Y	assisté	2747	    1,566	0.0025	677.8889	fra_news_2009_00142153
18080	En dépit de la pluie, 4649 spectateurs ont assisté à la rencontre.	Y	assisté	2747	    1,566	0.0025	943.6	fra_news_2009_00148673
18081	Il n'avait plus gagné depuis le GP du Canada en juin.	Y	gp	2747	    1,566	0.0025	377.8333	fra_news_2008_00057986
18082	Le Français n'a marqué aucun point en six GP.	Y	gp	2747	    1,566	0.0025	475.2	fra_news_2009_00366034
18083	Donc, ça passe par une belle qualification et par une course quasi sans faute pendant les 305 kilomètres du GP.	Y	gp	2747	    1,566	0.0025	623.4118	fra_news_2008_00467400
