ORDER	SENTENCE	STATUS	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
18001	Peki, ABD, ve İsrail’e göre terörist kim?	Y	terörist	2576	    1,410	0.0035	583.25	tur_news_2014_00765430
18002	O da terörist, sen de terörist diyor.	Y	terörist	2576	    1,410	0.0035	606.3333	tur_news_2018_00692341
18003	Ve zaten Müslüman’dan asla terörist olmaz.	Y	terörist	2576	    1,410	0.0035	782.8571	tur_news_2014_00944517
18004	Ne yazık ki Türkiye’de sözü olan herkesin terörist ilan edildiği bir noktaya geldik.	Y	terörist	2576	    1,410	0.0035	897.7143	tur_news_2014_00701142
18005	Dikkat çekici diğer bilgi, terörist başı Abdullah Öcalan ile ilgili.	Y	terörist	2576	    1,410	0.0035	1071.9	tur_news_2014_00374635
18006	Bir buçuk-iki ay önce de Ankara’ya geldiği ve Ankara’dan 4 kişi alarak Antalya’ya geçtiği söylendi.	Y	geçtiği	2577	    1,409	0.0035	775.1875	tur_news_2014_00185593
18007	 evet içinde bu tür sözlerin geçtiği ildiride de iki gün önce yapılan ve çok büyük tartışmalara neden olan saldırı ve onun sonucunda ortaya çıkan tartışmalara dikkat çekildi.	Y	geçtiği	2577	    1,409	0.0035	856.28	tur_news_2014_00433477
18008	Son günlerde onun adı sürekli geçtiği için siz onu soruyorsunuz.	Y	geçtiği	2577	    1,409	0.0035	858.6	tur_news_2018_00829507
18009	Geçen yıl çok ağır bir dönemden geçtiği halde verimli oldu.	Y	geçtiği	2577	    1,409	0.0035	880.6	tur_news_2014_00461545
18010	Türkiye, şimdi Amerika’nın mesela bundan 20 yıl önce geçtiği dönemden geçiyor.	Y	geçtiği	2577	    1,409	0.0035	913	tur_news_2005_00214085
18011	En az iki yıllık bir durum ve önümüzdeki yılda sürecek.	Y	sürecek	2577	    1,409	0.0035	475.8	tur_news_2005_00704444
18012	Ya aynı sürecek ya da iptal edilmiş olacak.	Y	sürecek	2577	    1,409	0.0035	728.8571	tur_news_2018_00939512
18013	Yaklaşık sekiz ay sürecek olan programa ilgi büyük.	Y	sürecek	2577	    1,409	0.0035	1018.875	tur_news_2014_00952369
18014	Cuma gününe kadar sürecek olan toplantıda birçok konu ele alınacak.	Y	sürecek	2577	    1,409	0.0035	1068.2	tur_news_2018_00311891
18015	Bu çalışma programı pazartesi, salı, çarşamba, perşembe ve cuma günleri de sürecek.	Y	sürecek	2577	    1,409	0.0035	1184.0833	tur_news_2005_00849847
18016	Her firmanın olduğu gibi her ülkenin de bir kredibilitesi vardır,.	Y	firmanın	2578	    1,408	0.0035	807.5556	tur_news_2005_00166400
18017	Türkiye bu yıl 42 firmanın katılımıyla dünya savunma sektörünün devleri olarak kabul edilen ülkeler arasında önemli bir yer alarak dikkat çekti.	Y	firmanın	2578	    1,408	0.0035	825.5	tur_news_2014_00904184
18018	Ana firmanın Türkiye’de şubesi yoksa ana firma adına da yapılabilir.	Y	firmanın	2578	    1,408	0.0035	828	tur_news_2005_00054238
18019	İki yıl önce, bu firmanın yerine NORMANDY adlı bir başka kuruluş geçti.	Y	firmanın	2578	    1,408	0.0035	845.9167	tur_news_2005_00917269
18020	Ve Norveç’te Türkiye’ye yatırım yapmak isteyen pek çok firmanın var olduğunu açıkladılar.	Y	firmanın	2578	    1,408	0.0035	847.8571	tur_news_2005_00267422
18021	Eğer toplumsal bir sorun varsa o an için kitle iletişim aracı ne ise, siz onu kullanırsınız doğru olan bu.	Y	kitle	2578	    1,408	0.0035	639.5263	tur_news_2014_00404954
18022	Sorun çıkaran işte bu ikinci kitle, ama bunların sayısı çok fazla: 12 milyon!	Y	kitle	2578	    1,408	0.0035	703.8333	tur_news_2018_00837131
18023	Çok ciddi bir kitle var bu konuya duyarlı olan.	Y	kitle	2578	    1,408	0.0035	786.7778	tur_news_2018_00306436
18024	Bu kitle de her geçen yıl daha da genişliyor. ifadelerini kullandı.	Y	kitle	2578	    1,408	0.0035	810.9091	tur_news_2018_00222435
18025	Yani öyle bir kitle var şu anda elimizde.	Y	kitle	2578	    1,408	0.0035	822.5	tur_news_2018_00949234
18026	O da benim gibi çok iyi insanlarla evlilik yaptı.	Y	evlilik	2579	    1,407	0.0035	671.2222	tur_news_2014_00709433
18027	Evlilik ve çocuk sahibi olmak zor kararlar mı?	Y	evlilik	2579	    1,407	0.0035	718.875	tur_news_2014_00435069
18028	İyi Evlilik: Aşk Neden ve Nasıl Devam Eder?	Y	evlilik	2579	    1,407	0.0035	732	tur_news_2005_00008640
18029	TRT 1’de “Evlilik Okulu” diye bir program başladı.	Y	evlilik	2579	    1,407	0.0035	839.375	tur_news_2018_00884837
18030	Sonra, evlilik kötü gidiyor, bir çocuk daha yapalım, bir çocuk daha yapalım.	Y	evlilik	2579	    1,407	0.0035	938.875	tur_news_2018_00831849
18031	Üstelik etkisi hemen değil, ancak yarım saat ile bir gün için görülebilir.	Y	görülebilir	2579	    1,407	0.0035	574.5	tur_news_2005_00122558
18032	Her politikacı buna benzer şeyler yapar ve uzun vadede şu ya da bu biçimde hoş görülebilir.	Y	görülebilir	2579	    1,407	0.0035	910.125	tur_news_2014_00523004
18033	Bu yaştaki çocukların yüzde 15’inde en az bir kez görülebilir.	Y	görülebilir	2579	    1,407	0.0035	937.8	tur_news_2005_00142373
18034	Günün herhangi bir zamanında o ana kadar yapılan satışları görülebilir.	Y	görülebilir	2579	    1,407	0.0035	965.9	tur_news_2005_00079153
18035	Gün içerisinde bol yağış ve sonra güneş görülebilir.	Y	görülebilir	2579	    1,407	0.0035	981.875	tur_news_2014_00487292
18036	Bunun dışında birçok etkinliğe de ev sahipliği yapan bir yer.	Y	sahipliği	2579	    1,407	0.0035	710.9	tur_news_2018_00244437
18037	Artık Türkiye, 10 yılda bir uluslararası organizasyona ev sahipliği yapan bir ülke değil.	Y	sahipliği	2579	    1,407	0.0035	741.3636	tur_news_2014_00109779
18038	Hollanda Avrupa’da en fazla Türk’e ev sahipliği yapan üçüncü ülkedir.	Y	sahipliği	2579	    1,407	0.0035	818.4167	tur_news_2018_00508607
18039	Ama iki önemli festivale de ev sahipliği yapıyor olması da kayda oldukça değer benim için.	Y	sahipliği	2579	    1,407	0.0035	821.6	tur_news_2018_00040121
18040	Ayrıca bu bölge son zamanlarda film sahnelerine de ev sahipliği yapmaya başladı dedi.	Y	sahipliği	2579	    1,407	0.0035	825.4615	tur_news_2018_00089084
18041	Elbette araç teslim edilen noktanın ihtiyaç dahilinde bir yer olması da önemli.	Y	dahilinde	2580	    1,406	0.0035	791.5833	tur_news_2018_00381574
18042	Belli ki o zaman birlikte görev yaptığı bir başka yüksek rütbelinin, kendisinin de bilgisi dahilinde geliştirdiği işler..	Y	dahilinde	2580	    1,406	0.0035	915.5882	tur_news_2014_00166081
18043	Ama dış transfer benim bilgim dahilinde yapıldı ve çok doğru işler yaptık.	Y	dahilinde	2580	    1,406	0.0035	959.25	tur_news_2014_00071049
18044	Bunun için kısa, orta ve uzun vadede neler yapılması gerektiği konusunda bir program dahilinde bir eylem planı hazırlanmalıdır.	Y	dahilinde	2580	    1,406	0.0035	980.6471	tur_news_2018_00246177
18045	Her ne kadar belli şartlar dahilinde normal olsa da kusma bir hastalık belirtisi de olabilir.	Y	dahilinde	2580	    1,406	0.0035	999.3333	tur_news_2018_00499272
18046	Türkiye Kamu-Sen’in yoksulluk sınırı araştırmasına göre Ağustos ayında çalışan tek kişinin yoksulluk sınırı bin 340 YTL oldu.	Y	ytl	2580	    1,406	0.0035	985.625	tur_news_2014_00909051
18047	Erzurum’un kış için için ayırdığı bütçe 500 bin YTL fazla verdi.	Y	ytl	2580	    1,406	0.0035	990.4	tur_news_2014_00426241
18048	Bu elde edilen paradan 500 bin YTL kar elde edildi.	Y	ytl	2580	    1,406	0.0035	1005.875	tur_news_2014_00239353
18049	Yapı Kredi Bankası, yılın ilk yarısında 401 milyon YTL net kar açıkladı.	Y	ytl	2580	    1,406	0.0035	1010	tur_news_2018_00951395
18050	İstanbul’da bugüne kadar ağır ve orta hasarlı konutların sahiplerine toplam 17 milyon YTL’nin üzerinde kredi yardımı yapıldı.	Y	ytl	2580	    1,406	0.0035	1035.3333	tur_news_2014_00571675
18051	Ayrıca her yıl geleneksel olarak verilen Kültür Bilim ve Sanat hayatımıza uzun süreli hizmetlerinden ötürü Prof.	Y	ötürü	2581	    1,405	0.0035	928.125	tur_news_2018_00090257
18052	İşte bu nedenden ötürü de ülkemizde ortalama hizmet ve ürün üreten çok, işini mükemmel yapan ise neredeyse yok.	Y	ötürü	2581	    1,405	0.0035	957.3333	tur_news_2014_00574753
18053	Desteklerinden ötürü kendilerine bir kez daha teşekkür ederim” şeklinde konuştu.	Y	ötürü	2581	    1,405	0.0035	998.8	tur_news_2018_00340790
18054	Bu yatırımlardan ötürü çok değerli Büyükşehir Belediye Başkanımıza, İl Başkanımıza ve emeği geçen herkese teşekkür ediyorum” şeklinde konuştu.	Y	ötürü	2581	    1,405	0.0035	1017.9412	tur_news_2018_00276786
18055	Ama Türkiye’deki basının, bundan ötürü değil, devlet örgütlenmesinin bir parçası gibi işlev gördüğü için bir kamu (burada devlet anlamında) hizmeti gördüğü kabul edilmektedir diye düşünüyorum.	Y	ötürü	2581	    1,405	0.0035	1036.8696	tur_news_2005_00692986
18056	Bana göre bunun önüne geçmek için böyle bir karar verdiler” diyor.	Y	verdiler	2581	    1,405	0.0035	632.2727	tur_news_2018_00102014
18057	Bu ülkeye ve bize çok zarar verdiler.	Y	verdiler	2581	    1,405	0.0035	733.7143	tur_news_2014_00305228
18058	Onlar da sağ olsun bizlere bu konuda destek verdiler.	Y	verdiler	2581	    1,405	0.0035	746.8889	tur_news_2018_00712701
18059	Akıncı ve Türkiye kötü şekilde tepki verdiler.	Y	verdiler	2581	    1,405	0.0035	998.2857	tur_news_2018_00018201
