ORDER	SENTENCE	STATUS	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
15001	Según datos del Ministerio de Salud, el mayor conocimiento sobre la enfermedad llevó a una demanda creciente por parte de los médicos y la población.	Y	creciente	2473	    2,051	0.0032	410.1304	spa_news_2015_00836710
15002	Un claro ejemplo es la cada vez más creciente demanda de servicios y de nuevas ofertas.	Y	creciente	2473	    2,051	0.0032	496	spa_news_2009_00401989
15003	Durante ese período se ha dado una serie de cambios, todos con una evolución creciente.	Y	creciente	2473	    2,051	0.0032	541.8571	spa_news_2015_00205728
15004	¿La violencia en el fútbol es un fenómeno creciente?	Y	creciente	2473	    2,051	0.0032	588.5556	spa_news_2015_00591360
15005	El déficit comercial industrial es enorme y creciente.	Y	creciente	2473	    2,051	0.0032	1032	spa_news_2015_00232646
15006	Ellos son dueños de su verdad y –además- de la verdad de los demás.	Y	dueños	2473	    2,051	0.0032	356.9091	spa_news_2015_00264579
15007	Y claro los dueños de los mismos no son de la zona y no les importa..	Y	dueños	2473	    2,051	0.0032	488.5	spa_news_2015_00977554
15008	“Con el cambio de dueños, nuestras condiciones de trabajo también han cambiado.	Y	dueños	2473	    2,051	0.0032	577.1818	spa_news_2011_00907353
15009	Dos de los 5 dueños eran hasta el martes funcionarios estatales.	Y	dueños	2473	    2,051	0.0032	638.5	spa_news_2009_00666483
15010	Los dueños del avión que llevará a Cristina.	Y	dueños	2473	    2,051	0.0032	841.375	spa_news_2009_00038016
15011	A lo mejor para ver si el segundo día de Navidad el Papa está en casa..	Y	navidad	2474	    2,050	0.0032	308.6667	spa_news_2011_00434810
15012	La Navidad y el deporte van de la mano estos días.	Y	navidad	2474	    2,050	0.0032	462.7	spa_news_2009_00800676
15013	Navidad nos recuerda el valor único de la vida humana, que es un don de Dios.	Y	navidad	2474	    2,050	0.0032	573.1333	spa_news_2011_00110105
15014	¿Cuál es tu rol en la navidad con tu familia?	Y	navidad	2474	    2,050	0.0032	685.5556	spa_news_2011_00595581
15015	Sobre: ¿Vacaciones de Navidad o de invierno?	Y	navidad	2474	    2,050	0.0032	1093.8333	spa_news_2009_00473527
15016	A tal punto que fueron cinco en total: tres en Universitario y dos en Nacional.	Y	universitario	2475	    2,049	0.0032	301.3846	spa_news_2015_00086871
15017	Mientras que el universitario tiene 122 estudiantes en toda Córdoba.	Y	universitario	2475	    2,049	0.0032	497.3333	spa_news_2011_00249695
15018	Como soy profesor universitario, eso a mí me parece bien.	Y	universitario	2475	    2,049	0.0032	578.9	spa_news_2009_00150106
