WORD	STATUS	RANK	COUNT	COUNT_REL
die	Y	1	543438	3.3769
der	Y	2	503709	3.13
und	Y	3	377730	2.3472
in	Y	4	290330	1.8041
das	Y	5	196265	1.2196
den	Y	6	174864	1.0866
mit	Y	7	161485	1.0035
von	Y	8	148325	0.9217
zu	Y	9	148096	0.9203
ist	Y	10	144867	0.9002
im	Y	11	142670	0.8865
für	Y	12	134430	0.8353
ein	Y	13	122103	0.7587
sich	Y	14	118745	0.7379
auf	Y	15	117092	0.7276
nicht	Y	16	116445	0.7236
es	Y	17	112463	0.6988
auch	Y	18	111088	0.6903
eine	Y	19	101642	0.6316
sie	Y	20	96164	0.5976
des	Y	21	95231	0.5918
dem	Y	22	88925	0.5526
als	Y	23	82110	0.5102
an	Y	24	71016	0.4413
bei	Y	25	68995	0.4287
werden	Y	26	68742	0.4272
er	Y	27	67886	0.4218
dass	Y	28	67611	0.4201
am	Y	29	62824	0.3904
hat	Y	30	60978	0.3789
aus	Y	31	60502	0.376
wird	Y	32	59358	0.3688
so	Y	33	57625	0.3581
wie	Y	34	57049	0.3545
nach	Y	35	55938	0.3476
ich	Y	36	55604	0.3455
sind	Y	37	54882	0.341
um	Y	38	54095	0.3361
aber	Y	39	51497	0.32
man	Y	40	47088	0.2926
vor	Y	41	46191	0.287
einer	Y	42	46061	0.2862
noch	Y	43	45852	0.2849
einen	Y	44	45028	0.2798
über	Y	45	43752	0.2719
einem	Y	46	42525	0.2642
nur	Y	47	42491	0.264
haben	Y	48	41882	0.2603
war	Y	49	40509	0.2517
zum	Y	50	39998	0.2485
mehr	Y	51	38209	0.2374
oder	Y	52	37116	0.2306
wir	Y	53	36298	0.2256
wurde	Y	54	33516	0.2083
bis	Y	55	33000	0.2051
sein	Y	56	32072	0.1993
zur	Y	57	30732	0.191
durch	Y	58	30549	0.1898
wenn	Y	59	27914	0.1735
euro	Y	60	27622	0.1716
kann	Y	61	27234	0.1692
sei	Y	62	26564	0.1651
diese	Y	63	26193	0.1628
österreich	Y	64	24235	0.1506
schon	Y	65	24056	0.1495
was	Y	66	24047	0.1494
habe	Y	67	23906	0.1486
dann	Y	68	22376	0.139
wieder	Y	69	22368	0.139
wien	Y	70	22149	0.1376
gegen	Y	71	20770	0.1291
unter	Y	72	20677	0.1285
ihre	Y	73	20590	0.1279
können	Y	74	20247	0.1258
prozent	Y	75	20120	0.125
gibt	Y	76	20099	0.1249
immer	Y	77	19967	0.1241
seine	Y	78	19689	0.1223
vom	Y	79	19261	0.1197
soll	Y	80	19002	0.1181
jahren	Y	81	18579	0.1154
zwei	Y	82	18360	0.1141
da	Y	83	18157	0.1128
dieser	Y	84	18060	0.1122
keine	Y	85	17965	0.1116
damit	Y	86	17907	0.1113
seit	Y	87	17876	0.1111
alle	Y	88	17745	0.1103
bereits	Y	89	17648	0.1097
beim	Y	90	17405	0.1082
jahr	Y	91	17371	0.1079
hier	Y	92	17142	0.1065
jetzt	Y	93	17072	0.1061
sehr	Y	94	16614	0.1032
hatte	Y	95	16047	0.0997
doch	Y	96	15973	0.0993
neue	Y	97	15878	0.0987
ab	Y	98	15687	0.0975
nun	Y	99	15399	0.0957
wurden	Y	100	14786	0.0919
ihr	Y	101	14542	0.0904
