ORDER	SENTENCE	STATUS	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
13001	՝ 1 միլիոն մարդ, որից հետագա տարիներին վերադարձել է մոտ 370 հազար մարդ) : 2002-2007թթ.	Y	վերադարձել	2231	    2,433	0.0049	585.4	arm_news_2015_00014932
13002	ՆԱՏՕ-ն պետք է Ադրբեջանի պաշտպանության համար, այլ ոչ՝ Ղարաբաղի վրա հարձակման։	Y	հարձակման	2232	    2,432	0.0049	367.75	arm_news_2013_00755327
13003	Ուշագրավ է ոչ թե նման հարձակման փաստը, այլ այն, որ դա կատարվել է ընդդիմադիր լրագրողների հանդեպ։	Y	հարձակման	2232	    2,432	0.0049	616.2667	arm_news_2015_00830803
13004	«Մենք շարունակելու ենք մեր աշխատանքները և պատրաստ ենք պատասխանել ցանկացած հարձակման»։	Y	հարձակման	2232	    2,432	0.0049	655.3	arm_news_2015_00695382
13005	Նա հարձակման էր ենթարկվել իրենց շենքի բակում անհայտ անձի կողմից։	Y	հարձակման	2232	    2,432	0.0049	825.4	arm_news_2015_00753205
13006	Ադրբեջանի ազգային բանակի աննախադեպ հարձակման պատճառով հանրապետությունում ստեղծվել է ծանր իրավիճակ։	Y	հարձակման	2232	    2,432	0.0049	908.8182	arm_news_2015_00087088
13007	Սկզբում ամեն ինչ լավ էր ընթանում ու նա հանդես էր գալիս թիմի մեկնարկային կազմում։	Y	մեկնարկային	2232	    2,432	0.0049	474.6154	arm_news_2017_00898165
13008	Վերջին տարիներին մենք ասում ենք, որ ունենք լուրջ մեկնարկային հիմք։	Y	մեկնարկային	2232	    2,432	0.0049	523.1	arm_news_2013_00930699
13009	Այս ամենի մեկնարկային գինը կազմում է ավելի քան 6 մլրդ դրամ։	Y	մեկնարկային	2232	    2,432	0.0049	625.3	arm_news_2017_00124298
13010	Պարզ է, որ հոկտեմբերի 10–ը մեկնարկային, այլ ոչ թե հանգրվանային ամսաթիվ է քաղաքական այս պայքարում, բայց հոկտեմբերի 10–ն արդեն աննախադեպ է, ու ինչ–որ առումով՝ նաև պատմական, և ահա թե ինչու։	Y	մեկնարկային	2232	    2,432	0.0049	627.5385	arm_news_2015_00857981
13011	«Մեկնարկային խաղն էր, և մեզ մոտ ամեն ինչ չէ, որ ստացվում էր։	Y	մեկնարկային	2232	    2,432	0.0049	660.0909	arm_news_2013_00682691
13012	Ես չեմ խոսում միայն այսօրվա ռեժիմի մասին, բայց իհարկե դա վերաբերում է նաև այսօրվա ռեժիմին։	Y	ռեժիմի	2232	    2,432	0.0049	594.3571	arm_news_2017_00332569
13013	Նշանակում է, ո՞վ է պատասխանատու այն մարդկանց ոչնչացնելու համար, որոնք աշխատել են նրա ռեժիմի դեմ։	Y	ռեժիմի	2232	    2,432	0.0049	614.3333	arm_news_2013_00764706
13014	«Ընդդիմադիր ծրագիրը չի կարող լինել պայքար՝ 1 մարդու կամ ռեժիմի դեմ» 20,556 այցելություն, 2014-06-27-ին «Դեմ առ դեմ», «Եվրոպան եւ մենք» և «Կյանքը լուսանցքում.	Y	ռեժիմի	2232	    2,432	0.0049	663.0526	arm_news_2013_00400104
13015	Մենք երբեք էլ չենք համագործակցել Սերժ Սարգսյանի ռեժիմի հետ News.am Քաղաքականություն 4 օր առաջ Ներկայիս ռեժիմի հետ միայն այդպես է կարելի խոսել՝ պահանջների լեզվով..	Y	ռեժիմի	2232	    2,432	0.0049	686.3636	arm_news_2013_00686689
13016	Այսօր 2524 այց ըստ Google Analytics-ի Երբեք էլ չենք համագործակցել Սերժ Սարգսյանի ռեժիմի հետ.	Y	ռեժիմի	2232	    2,432	0.0049	702.6429	arm_news_2013_00158918
