ORDER	SENTENCE	STATUS	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
1	Die hat sie aber nicht.	Y	die	1	543,438	3.3769	21.2	german_at_news_2012_00311403
2	Die Menschen sind, was sie sind.	Y	die	1	543,438	3.3769	47.4	german_at_news_2012_00326491
3	Mir geht es nur um die Menschen.	Y	die	1	543,438	3.3769	67.8571	german_at_news_2012_00681746
4	Die beiden haben zwei Kinder und leben in Wien.	Y	die	1	543,438	3.3769	83.2222	german_at_news_2012_00285016
5	Die macht alles alles alles.	Y	die	1	543,438	3.3769	115.6667	german_at_news_2012_00324214
6	Doch der hatte es in sich.	Y	der	2	503,709	3.13	38	german_at_news_2012_00384039
7	Er ist in der Stadt.	Y	der	2	503,709	3.13	48.2	german_at_news_2012_00439473
8	Der würde das aber auch in Wien mit der SPÖ können.	Y	der	2	503,709	3.13	54.1	german_at_news_2012_00268439
9	Ist doch einer, wie der Andere!	Y	der	2	503,709	3.13	60.8333	german_at_news_2012_00616071
10	Vor allem in der Stadt.	Y	der	2	503,709	3.13	76.8	german_at_news_2012_00911672
11	Und das ist sie auch.	Y	und	3	377,730	2.3472	11.2	german_at_news_2012_00870642
12	Und den gibt es jetzt auch.	Y	und	3	377,730	2.3472	35.5	german_at_news_2012_00871879
13	Und damit auch der ÖVP.	Y	und	3	377,730	2.3472	50	german_at_news_2012_00869145
14	Und auch da nur einmal.	Y	und	3	377,730	2.3472	60.4	german_at_news_2012_00867531
15	Und vor allem: Ohne seine Frau und die drei Kinder.	Y	und	3	377,730	2.3472	100.3333	german_at_news_2012_00882960
16	Und wie ist das in Österreich?	Y	in	4	290,330	1.8041	20	german_at_news_2012_00885192
17	Nur in Wien gibt es die noch nicht.	Y	in	4	290,330	1.8041	34.25	german_at_news_2012_00734860
18	So etwas gibt es nur noch in Österreich.	Y	in	4	290,330	1.8041	53.75	german_at_news_2012_00821945
19	Kommt auch schon in die Jahre.	Y	in	4	290,330	1.8041	60.6667	german_at_news_2012_00640639
20	Die beiden haben zwei Kinder und leben in Wien.	Y	in	4	290,330	1.8041	83.2222	german_at_news_2012_00285016
21	Und das ist sie auch.	Y	das	5	196,265	1.2196	11.2	german_at_news_2012_00870642
22	Wie geht sich das aus?	Y	das	5	196,265	1.2196	38.2	german_at_news_2012_00954895
23	Das will ich jetzt nicht mehr.	Y	das	5	196,265	1.2196	51.1667	german_at_news_2012_00205379
24	Das hatte ich auch mal.	Y	das	5	196,265	1.2196	66.6	german_at_news_2012_00173714
25	Macht ihn das mehr zur Frau?	Y	das	5	196,265	1.2196	114.6667	german_at_news_2012_00661684
26	Es war in den 70er Jahren.	Y	den	6	174,864	1.0866	30.6667	german_at_news_2012_00470605
27	Und den gibt es jetzt auch.	Y	den	6	174,864	1.0866	35.5	german_at_news_2012_00871879
28	Das geht den anderen nicht so.	Y	den	6	174,864	1.0866	53.3333	german_at_news_2012_00170099
29	Wie geht es den Menschen jetzt?	Y	den	6	174,864	1.0866	61.6667	german_at_news_2012_00954862
30	Ob aus den beiden mehr wird?	Y	den	6	174,864	1.0866	78.5	german_at_news_2012_00737101
31	Sie sind auch mit dabei.	Y	mit	7	161,485	1.0035	36.8	german_at_news_2012_00812920
32	Nur: Geht das mit 23 Jahren?	Y	mit	7	161,485	1.0035	49.4	german_at_news_2012_00734562
33	Wie geht man mit so etwas um?	Y	mit	7	161,485	1.0035	57.8571	german_at_news_2012_00954891
34	Aber was soll ich mit diesen Millionen?	Y	mit	7	161,485	1.0035	76.1429	german_at_news_2012_00011118
35	Jetzt, mit 31 Jahren, kann alles andere kommen.	Y	mit	7	161,485	1.0035	107	german_at_news_2012_00624964
36	Nicht nur von der SPÖ.	Y	von	8	148,325	0.9217	41.6	german_at_news_2012_00724936
37	Selbst wenn es von mir ist.	Y	von	8	148,325	0.9217	60.3333	german_at_news_2012_00801003
38	Von allem viel zu viel.	Y	von	8	148,325	0.9217	67.75	german_at_news_2012_00906237
39	Da hat er dann von mir lassen.	Y	von	8	148,325	0.9217	77	german_at_news_2012_00140276
40	Das kommt ganz von selbst.	Y	von	8	148,325	0.9217	83.6	german_at_news_2012_00182173
41	Zu mehr sind sie nicht gut.	Y	zu	9	148,096	0.9203	42.5	german_at_news_2012_00988887
42	Es wurde ihr zu viel.	Y	zu	9	148,096	0.9203	59.2	german_at_news_2012_00472422
43	Von allem viel zu viel.	Y	zu	9	148,096	0.9203	67.75	german_at_news_2012_00906237
44	Es geht uns noch immer viel zu gut.	Y	zu	9	148,096	0.9203	76.375	german_at_news_2012_00456094
45	Schon 2020 könnte alles zu Ende sein.	Y	zu	9	148,096	0.9203	107.1667	german_at_news_2012_00784143
46	Und das ist sie auch.	Y	ist	10	144,867	0.9002	11.2	german_at_news_2012_00870642
47	Das ist jetzt nicht mehr so.	Y	ist	10	144,867	0.9002	34.6667	german_at_news_2012_00179126
48	Aber sie ist immer da.	Y	ist	10	144,867	0.9002	45.8	german_at_news_2012_00010084
49	Das ist ja gut so.	Y	ist	10	144,867	0.9002	60.4	german_at_news_2012_00179062
50	Alles ist gut, alles ist gut.	Y	ist	10	144,867	0.9002	94	german_at_news_2012_00026217
51	Das waren 6,3 Prozent mehr als im Jahr 2003.	Y	im	11	142,670	0.8865	52.2857	german_at_news_2012_00203768
52	Im Jahre 1940 waren es noch 7000.	Y	im	11	142,670	0.8865	58.4	german_at_news_2012_00573796
