ORDER	SENTENCE	STATUS	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
3001	Und wo ist er an die Macht gekommen?	Y	gekommen	577	  2,507	0.0156	125	german_at_news_2012_00885749
3002	Wie ist er zu diesen gekommen?	Y	gekommen	577	  2,507	0.0156	139.1667	german_at_news_2012_00955781
3003	Wie sind Sie dazu gekommen?	Y	gekommen	577	  2,507	0.0156	159.2	german_at_news_2012_00959333
3004	Wie sind wir so weit gekommen?	Y	gekommen	577	  2,507	0.0156	187.5	german_at_news_2012_00959345
3005	Vielleicht wäre alles ganz anders gekommen,.	Y	gekommen	577	  2,507	0.0156	312.8333	german_at_news_2012_00901922
3006	Denn es könne ja nicht sein, „dass in Tirol jeder machen kann was er will“.	Y	tirol	578	  2,506	0.0156	132.2	german_at_news_2012_00220580
3007	Das sind derzeit in Tirol zwei Personen.	Y	tirol	578	  2,506	0.0156	188.4286	german_at_news_2012_00195750
3008	Oder dieser Fall in Tirol.	Y	tirol	578	  2,506	0.0156	198.8	german_at_news_2012_00741109
3009	Zum Vergleich: In Niederösterreich sind es 7.400 Euro und in Tirol rund 11.300 Euro.	Y	tirol	578	  2,506	0.0156	200	german_at_news_2012_00990975
3010	Es kann doch nicht sein, dass in Tirol fast alles erlaubt ist, in Wien nichts.	Y	tirol	578	  2,506	0.0156	205.1429	german_at_news_2012_00464238
3011	Ist das nicht zu viel des Guten?	Y	guten	579	  2,504	0.0156	107.8571	german_at_news_2012_00615698
3012	Wir sind auf einem sehr guten Weg.	Y	guten	579	  2,504	0.0156	150.1429	german_at_news_2012_00969531
3013	Die guten Mitarbeiter, die schon viele Jahre bei uns sind.	Y	guten	579	  2,504	0.0156	171	german_at_news_2012_00310637
3014	Dann heißt es schnell sein, um einen guten Platz zu finden.	Y	guten	579	  2,504	0.0156	195.3636	german_at_news_2012_00152710
3015	Dies hat einen guten Grund.	Y	guten	579	  2,504	0.0156	252	german_at_news_2012_00357840
3016	Alle Welt erwartet, dass er das kann.	Y	erwartet	580	  2,501	0.0155	138.7143	german_at_news_2012_00027183
3017	Heißt das nicht, dass sich die Bevölkerung von der Politik nichts mehr erwartet?	Y	erwartet	580	  2,501	0.0155	157.0769	german_at_news_2012_00532758
3018	Was hat sie sich denn bitte erwartet?	Y	erwartet	580	  2,501	0.0155	180.2857	german_at_news_2012_00925605
3019	Aber eigentlich hätten die Grünen nicht viel mehr erwartet.	Y	erwartet	580	  2,501	0.0155	207.4444	german_at_news_2012_00005298
3020	Ich habe überhaupt nichts erwartet.	Y	erwartet	580	  2,501	0.0155	265	german_at_news_2012_00554525
3021	Adresse, Postleitzahl, Ort oder Bezirk Dabei sein ist alles!	Y	postleitzahl	581	  2,499	0.0155	196.6667	german_at_news_2012_00016055
3022	Adresse, Postleitzahl, Ort oder Bezirk E-Mail: wien.	Y	postleitzahl	581	  2,499	0.0155	254.5	german_at_news_2012_00016711
3023	Adresse, Postleitzahl, Ort oder Bezirk kinder.	Y	postleitzahl	581	  2,499	0.0155	273.3333	german_at_news_2012_00017050
3024	Adresse, Postleitzahl, Ort oder Bezirk E-Mail: wolfgang.	Y	postleitzahl	581	  2,499	0.0155	311.25	german_at_news_2012_00016714
3025	Adresse, Postleitzahl, Ort oder Bezirk bilder.	Y	postleitzahl	581	  2,499	0.0155	324.3333	german_at_news_2012_00015955
3026	Sowohl für Österreich wie auch für Europa.	Y	sowohl	582	  2,497	0.0155	160	german_at_news_2012_00834188
3027	Denn sowohl FPÖ als auch BZÖ sehen das so.	Y	sowohl	582	  2,497	0.0155	205.2222	german_at_news_2012_00223976
3028	Sowohl für mich, als auch für ihn keine gute Entscheidung.	Y	sowohl	582	  2,497	0.0155	210.8889	german_at_news_2012_00834186
3029	Das gilt sowohl für die USA als auch für Japan und Europa.	Y	sowohl	582	  2,497	0.0155	250.4545	german_at_news_2012_00171742
3030	Hier heißt es nicht entweder oder, sondern sowohl als auch.	Y	sowohl	582	  2,497	0.0155	266.9	german_at_news_2012_00539173
3031	Ihn zieht es immer hinaus und er zieht auch viele mit.	Y	hinaus	583	  2,494	0.0155	200.4	german_at_news_2012_00563594
3032	In Europa und weit darüber hinaus.	Y	hinaus	583	  2,494	0.0155	257.5	german_at_news_2012_00599448
3033	Doch Sie brauchen noch etwas darüber hinaus.	Y	hinaus	583	  2,494	0.0155	272.2857	german_at_news_2012_00387830
3034	Darüber hinaus gilt es, auch einmal „Nein“ zu sagen.	Y	hinaus	583	  2,494	0.0155	275.8889	german_at_news_2012_00157053
3035	Aber um die Zukunft der Kirche hat er keine Angst: „Vielleicht müssen wir erst wieder eine kleine Gruppe werden, um dann stärker hinaus zu wirken.	Y	hinaus	583	  2,494	0.0155	278.5	german_at_news_2012_00010564
3036	Dafür setzt sich Österreich auch im Rahmen der EU ein.	Y	setzt	583	  2,494	0.0155	136	german_at_news_2012_00138886
3037	Und genau das setzt er nun um.	Y	setzt	583	  2,494	0.0155	154	german_at_news_2012_00876400
3038	Auf das Ziel, das man sich setzt.	Y	setzt	583	  2,494	0.0155	161.3333	german_at_news_2012_00074208
3039	Denn alles, was sie sich in den Kopf setzt, erreicht sie auch.	Y	setzt	583	  2,494	0.0155	204.3636	german_at_news_2012_00217921
3040	Und wie setzt man durch, dass sie gleich bezahlt werden?	Y	setzt	583	  2,494	0.0155	237.4	german_at_news_2012_00885297
3041	D.h. doch nichts anderes als, dass mehr als 10,-- EURO wieder zurück an den Staat gehen.	Y	d	584	  2,493	0.0155	287.8667	german_at_news_2012_00274180
3042	Sehen Sie sich die Karte in 3D an.	Y	d	584	  2,493	0.0155	309.25	german_at_news_2012_00790022
3043	Ob die 3D-Funktion bereits im iPhone 5 kommt, steht nicht fest.	Y	d	584	  2,493	0.0155	309.9091	german_at_news_2012_00737593
3044	Wenn ich ein 3D Spiel spiele.	Y	d	584	  2,493	0.0155	336.3333	german_at_news_2012_00940916
3045	Er oder sie soll das Smartphone auch selbst in den Händen gehalten und damit einige (3D-)Fotos gemacht haben.	Y	d	584	  2,493	0.0155	340.0526	german_at_news_2012_00442338
3046	Nur gibt es die in dieser Form nicht.	Y	form	585	  2,489	0.0155	103.75	german_at_news_2012_00734588
3047	Aber nur, um in Form zu bleiben.	Y	form	585	  2,489	0.0155	150.8571	german_at_news_2012_00009551
3048	Das habe es in der Form bisher nicht gegeben.	Y	form	585	  2,489	0.0155	153.8889	german_at_news_2012_00172514
3049	NEWS: Wie halten Sie sich in Form?	Y	form	585	  2,489	0.0155	188.8571	german_at_news_2012_00722734
3050	Das hat es in dieser Form überhaupt noch nie gegeben.	Y	form	585	  2,489	0.0155	193.5	german_at_news_2012_00173311
3051	Sind ja nur ein paar Meter.	Y	meter	585	  2,489	0.0155	198.1667	german_at_news_2012_00818681
3052	Es war keine drei Meter lang.	Y	meter	585	  2,489	0.0155	210.6667	german_at_news_2012_00470638
3053	Vielleicht werden es auch zehn Meter.	Y	meter	585	  2,489	0.0155	212.6667	german_at_news_2012_00902035
3054	Und das können immerhin bis zu sechs Meter sein.	Y	meter	585	  2,489	0.0155	213	german_at_news_2012_00870717
3055	Diese letzten Meter hatten mit Laufen nur mehr wenig zu tun.	Y	meter	585	  2,489	0.0155	236	german_at_news_2012_00348173
3056	Und warum läuft das alles über die Isle of Man?	Y	of	586	  2,488	0.0155	406.1	german_at_news_2012_00883186
3057	Wer zählt uns denn zu den „Best of Austria“?	Y	of	586	  2,488	0.0155	418.2222	german_at_news_2012_00949922
3058	Sie ist ein großer Teil seines Lebens“, so ein Freund in der News of the World.	Y	of	586	  2,488	0.0155	441.7333	german_at_news_2012_00808978
3059	Best of Vienna 2/2008 auf Seite 33. Wer nicht unbedingt ausschließlich auf ultraneue Küchenutensilien steht, sondern auch dem einen oder anderen Stück mit Geschichte in seiner Küche Platz bietet, der ist hier mehr als richtig.	Y	of	586	  2,488	0.0155	463.1875	german_at_news_2012_00112653
3060	Hinter dem Titel „City of Design“ steht Buchmann voll und ganz, ob er auch hinter Kunst und Kultur insgesamt steht, weiß ich nicht.	Y	of	586	  2,488	0.0155	466.15	german_at_news_2012_00542047
3061	Nur die Sache mit dem Interview ließ sich nicht mehr aus der Welt schaffen, oder doch?	Y	ließ	587	  2,486	0.0154	189.75	german_at_news_2012_00733863
3062	Der Erfolg in Österreich ließ nicht lange auf sich warten.	Y	ließ	587	  2,486	0.0154	238.2	german_at_news_2012_00237846
3063	Das ließ aber nicht lange auf sich warten.	Y	ließ	587	  2,486	0.0154	243.125	german_at_news_2012_00184555
