ORDER	SENTENCE	STATUS	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
11001	Lo si può fare solo con gli utili.	Y	utili	1973	    2,871	0.0048	291.5	ita_news_2015_00578781
11002	Le nuove regole saranno comunque utili per qualcuno dopo di lui, perché indietro non si torna.	Y	utili	1973	    2,871	0.0048	407.25	ita_news_2016_00545857
11003	"""""""I passi di oggi sono stati utili""""""""."""""""	Y	utili	1973	    2,871	0.0048	518.1429	ita_news_2016_00453336
11004	Una azienda che FA UTILI, deve avere un manager ben pagato.	Y	utili	1973	    2,871	0.0048	646.8182	ita_news_2016_00952528
11005	Elementi che potrebbero tornare utili al tecnico nelle prossime giornate.	Y	utili	1973	    2,871	0.0048	906.1	ita_news_2016_00236554
11006	Chi l’ha detto che a siamo tutti un po‘ più buoni?	Y	buoni	1974	    2,870	0.0048	234.3333	ita_news_2019_00108497
11007	L’unico futuro per i due Stati è vivere in pace e sicurezza, da buoni vicini.	Y	buoni	1974	    2,870	0.0048	412.1875	ita_news_2019_00595003
11008	"""""""Anche con Camera di commercio e Provincia i rapporti sono buoni""""""""."""""""	Y	buoni	1974	    2,870	0.0048	495.5455	ita_news_2016_00047196
11009	Nonostante ciò è stato un test positivo, perché i ragazzi hanno ottenuto buoni tempi su una pista molto tecnica.	Y	buoni	1974	    2,870	0.0048	569.4737	ita_news_2019_00689404
11010	Ma i buoni giocatori non mancano, e arrivano da Inghilterra, Argentina, Brasile.	Y	buoni	1974	    2,870	0.0048	888.8333	ita_news_2015_00601564
11011	"""""""Se si arriva a queste decisioni magari è perché non c'era più la volontà di continuare questo lavoro insieme""""""""."""""""	Y	decisioni	1975	    2,869	0.0048	325.6	ita_news_2016_00865514
11012	Adesso è già tempo di decisioni importanti.	Y	decisioni	1975	    2,869	0.0048	476.2857	ita_news_2016_00013580
11013	Ma che fare, in Parlamento, nelle prossime decisioni?	Y	decisioni	1975	    2,869	0.0048	553	ita_news_2019_00601062
11014	Vuole dire che non conta nulla nel Consiglio dei Ministri UE dove vengono prese le decisioni.	Y	decisioni	1975	    2,869	0.0048	595.5	ita_news_2016_00998091
11015	Poi ognuno sarà responsabile delle proprie decisioni”.	Y	decisioni	1975	    2,869	0.0048	892.7143	ita_news_2019_00766027
11016	"""""""""""""""È entrato bene in partita ma non c'è nessuno che ha dato il là a questa vittoria, è stata la squadra."""""""	Y	entrato	1975	    2,869	0.0048	256.25	ita_news_2016_00223973
11017	Per un team che mai entrato tra le prime quattro al mondo.	Y	entrato	1975	    2,869	0.0048	367.8333	ita_news_2015_00762469
11018	E’ tanto che manca e di sicuro non è mai entrato in uno stadio così bello, in Italia.	Y	entrato	1975	    2,869	0.0048	432.1875	ita_news_2016_00271251
11019	Sicuramente siamo andati meglio nel secondo tempo grazie anche al contributo di chi è entrato dalla panchina.	Y	entrato	1975	    2,869	0.0048	505.5294	ita_news_2015_00880025
11020	Col Barcellona è finalmente entrato in scena davvero.	Y	entrato	1975	    2,869	0.0048	793.875	ita_news_2015_00125029
11021	Sul posto gli agenti del X Gruppo Mare di Roma Capitale.	Y	x	1976	    2,868	0.0048	437.5455	ita_news_2015_00922796
11022	"""""""In questo torneo ha diretto sei volte ; cinque """"""""1"""""""" e un solo """"""""x""""""""."""""""	Y	x	1976	    2,868	0.0048	502	ita_news_2019_00432443
11023	Ecco perchè non si riesce mai a recuperare questi soldi, quando x altri paesi è + che normale.	Y	x	1976	    2,868	0.0048	526.4706	ita_news_2015_00213092
11024	L'unica differenza è la durata,infatti quello x club dura circa una settimana,mentre quello x nazionali un mese.	Y	x	1976	    2,868	0.0048	575.7778	ita_news_2015_00588636
11025	Non é quindi un pericolo x altri.	Y	x	1976	    2,868	0.0048	715.7143	ita_news_2016_00682719
11026	"""""""""""""""E' un discorso che va visto in termini analitici - ha spiegato Tremonti - In primo luogo bisogna distinguere tra annunci di piani e fatti."""""""	Y	analitici	1977	    2,867	0.0048	942.9524	ita_news_2016_00274706
11027	Per quanto concerne il risultato dei singoli partiti, bisognerà ovviamente aspettare i dati analitici.	Y	analitici	1977	    2,867	0.0048	1190.5714	ita_news_2016_00750414
11028	Ne è passata di acqua sotto i ponti, da quando Gary Becker utilizzò gli strumenti analitici dell'economia per indagare la famiglia e il matrimonio.	Y	analitici	1977	    2,867	0.0048	1194.96	ita_news_2015_00650401
11029	Mentre dovrebbe essere attendibile (solo nel caso vengano resi noti i numeri analitici) il sondaggio che sta commissionando Pierfrancesco Majorino, e anche quello che il Pd ha ancora a disposizione e che non ha ancora usato.	Y	analitici	1977	    2,867	0.0048	1197.2667	ita_news_2016_00626027
11030	Si entra presto in confidenza con lo stile dell’emittente, analitici i due che parlano dallo studio, dettagliato il cronista incollato ai giocatori.	Y	analitici	1977	    2,867	0.0048	1292	ita_news_2019_00871117
11031	Loro, in casa e con questo pubblico, ci hanno messo più carattere.	Y	carattere	1977	    2,867	0.0048	260.0833	ita_news_2016_00576803
11032	Oggi una bella partita di carattere, contro un'Inter che ha fatto un bel calcio.	Y	carattere	1977	    2,867	0.0048	376.8571	ita_news_2016_00707138
11033	In queste prime quattro giornate abbiamo dato prova di avere anche carattere.	Y	carattere	1977	    2,867	0.0048	501.3333	ita_news_2019_00429805
11034	E il carattere giusto per affrontare i Giochi.	Y	carattere	1977	    2,867	0.0048	610.875	ita_news_2015_00226691
11035	Non sono presenti elementi di carattere straordinario.	Y	carattere	1977	    2,867	0.0048	906.1429	ita_news_2015_00700278
11036	Il centrosinistra critica il bilancio Su questo sito utilizziamo cookie tecnici e, previo tuo consenso, cookie di profilazione, nostri e di terze parti, per proporti pubblicità in linea con le tue preferenze.	Y	critica	1977	    2,867	0.0048	297.4286	ita_news_2019_00336286
11037	«Chi critica non sa di che cosa parla.	Y	critica	1977	    2,867	0.0048	414.875	ita_news_2016_00113750
11038	Mentre la situazione di bilancio resta critica.	Y	critica	1977	    2,867	0.0048	487.8571	ita_news_2015_00630140
11039	"""""""In questo modo possiamo fare massa critica e difendere meglio il nostro prodotto""""""""."""""""	Y	critica	1977	    2,867	0.0048	572.1538	ita_news_2016_00432846
11040	Restano tutte le ragioni della critica ad Expo.	Y	critica	1977	    2,867	0.0048	826.125	ita_news_2015_00825124
11041	"""""""""""""""Contro la Juve sarà una partita difficile ma abbiamo una squadra che può affrontare chiunque""""""""."""""""	Y	chiunque	1978	    2,863	0.0048	344.5	ita_news_2016_00146731
11042	Lo dice la storia del campionato: chiunque viene chiamato in causa dà il massimo.	Y	chiunque	1978	    2,863	0.0048	463.7857	ita_news_2019_00578032
11043	"""""""Per me non era un problema, è normale dare cibo o acqua a chiunque ne abbia bisogno""""""""."""""""	Y	chiunque	1978	    2,863	0.0048	494.5882	ita_news_2019_00746336
11044	Ma noi possiamo mettere in difficoltà chiunque.	Y	chiunque	1978	    2,863	0.0048	585.8571	ita_news_2015_00611574
