ORDER	SENTENCE	STATUS	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
16001	Данное открытие было сделано в какой-то степени случайно.	Y	случайно	2383	    1,656	0.0038	1095	rus_news_2010_00085576
16002	В настоящее время ведется их поиск, - отметил собеседник агентства.	Y	поиск	2384	    1,655	0.0038	656.1111	rus_news_2010_00305250
16003	В настоящее время полиция ведет его поиск.	Y	поиск	2384	    1,655	0.0038	781.5714	rus_news_2009_00556757
16004	Идет развитие общества, поиск своего национального пути развития.	Y	поиск	2384	    1,655	0.0038	857.125	rus_news_2007_00767484
16005	В некоторых странах ограничения на поиск информации интернете уже существуют.	Y	поиск	2384	    1,655	0.0038	991.6	rus_news_2007_00793742
16006	В настоящее время ведется поиск восьми рабочих.	Y	поиск	2384	    1,655	0.0038	1160.7143	rus_news_2007_00506581
16007	Но, оказалось, нам тоже есть, что сказать властям.	Y	властям	2385	    1,654	0.0038	558.5	rus_news_2010_00618434
16008	При этом президент отметил, что к властям Азербайджана не могут быть какие-либо претензии.	Y	властям	2385	    1,654	0.0038	595.7143	rus_news_2007_00719800
16009	Однако за три года такие требования к властям города были предъявлены лишь два раза.	Y	властям	2385	    1,654	0.0038	604.6429	rus_news_2010_00797324
16010	По словам одного из афганских чиновников, для проведения выборов в срок властям не хватает около 120 миллионов долларов.	Y	властям	2385	    1,654	0.0038	648.2941	rus_news_2010_00942365
16011	Если у него есть список с именами, то он должен представить его властям.	Y	властям	2385	    1,654	0.0038	695.9231	rus_news_2010_00133909
16012	Если это и так, то, по крайней мере, это не мои проблемы, а аудитории и Алексея.	Y	алексея	2386	    1,653	0.0038	730.7143	rus_news_2007_00202461
16013	Об этом сообщает РИА Новости со ссылкой на слова руководителя департамента международного сотрудничества фонда Алексея Ситникова.	Y	алексея	2386	    1,653	0.0038	797.8125	rus_news_2010_00794098
16014	Подписаться на подкаст Версия для печати До сих пор НТВ не удалось получить комментарий от управления ГИБДД по поводу аварии с участием служебного автомобиля вице-губернатора Алексея Сергеева, которая произошла почти неделю назад.	Y	алексея	2386	    1,653	0.0038	824.2121	rus_news_2009_00424995
16015	Но против бывшего клуба у Алексея не было проблем с мотивацией.	Y	алексея	2386	    1,653	0.0038	825.7273	rus_news_2010_00884087
16016	Об этом сообщает РИА Новости со ссылкой на заявление председателя правления Газпрома Алексея Миллера.	Y	алексея	2386	    1,653	0.0038	826.9286	rus_news_2010_00916076
16017	А почему сегодня он не с вами?	Y	вами	2386	    1,653	0.0038	417.2857	rus_news_2007_00142905
16018	Но они не хотят говорить с вами.	Y	вами	2386	    1,653	0.0038	565.5714	rus_news_2007_00648452
16019	Это крайне важно для нашей с вами безопасности.	Y	вами	2386	    1,653	0.0038	637.875	rus_news_2007_00852657
16020	Я буду бороться до конца, чтобы быть с вами.	Y	вами	2386	    1,653	0.0038	728.2222	rus_news_2010_00366994
16021	 Если русский отвечает на все три вопроса - перед вами как минимум кандидат наук.	Y	вами	2386	    1,653	0.0038	1036.6923	rus_news_2010_00132802
16022	На суд жюри помимо работ представителей многих регионов России были представлены и работы от Болгарии и США.	Y	жюри	2386	    1,653	0.0038	682.75	rus_news_2007_00360996
16023	Ну и что, что жюри дали в этом году призы не тем, кому надо?	Y	жюри	2386	    1,653	0.0038	746.6923	rus_news_2007_00359046
16024	Это, конечно, хорошо говорит о самом режиссере, а что до жюри... почему бы ему и не обмануться?	Y	жюри	2386	    1,653	0.0038	747.9412	rus_news_2007_00989419
16025	Кроме того, в состав членов жюри вошли не только специалисты, эксперты, но и рекламодатели.	Y	жюри	2386	    1,653	0.0038	765.5714	rus_news_2007_00865226
16026	Для меня ценность любой премии зависит от людей, которые ее ранее получали и от тех, кто входит в жюри.	Y	жюри	2386	    1,653	0.0038	807.5556	rus_news_2010_00037006
16027	Недалеко то время когда у России и Грузии будет единое мнение.	Y	недалеко	2386	    1,653	0.0038	680.5455	rus_news_2007_00702757
16028	Война же недалеко от российской границы - последнее, в чем может быть заинтересована Москва.	Y	недалеко	2386	    1,653	0.0038	811.4615	rus_news_2007_00299642
16029	А в недалеко будущем придется говорить о 90 миллионах или еще меньше.	Y	недалеко	2386	    1,653	0.0038	815.5455	rus_news_2010_00113367
16030	Второй взрыв произошел недалеко от российского культурного центра, но россиян среди пострадавших нет.	Y	недалеко	2386	    1,653	0.0038	833.8462	rus_news_2007_00178503
16031	От которых недалеко и до внешнего управления.	Y	недалеко	2386	    1,653	0.0038	846.4286	rus_news_2007_00633485
16032	Нам не удалось получить комментарий со стороны РТС.	Y	ртс	2386	    1,653	0.0038	478.25	rus_news_2007_00106191
16033	В.Д.: Да, это были фьючерсы и на сам индекс РТС, и на некоторые акции.	Y	ртс	2386	    1,653	0.0038	750.0769	rus_news_2010_00205342
16034	К середине марта 2009 года капитализация компании на РТС снизилась почти в четыре раза по сравнению с летом прошлого года.	Y	ртс	2386	    1,653	0.0038	753.5556	rus_news_2009_00527822
16035	Так, РТС с начала года прибавил более 35 процентов.	Y	ртс	2386	    1,653	0.0038	856.75	rus_news_2009_00886172
16036	Акции банка на РТС выросли почти на 2%  лучше рынка, который прибавил менее процента.	Y	ртс	2386	    1,653	0.0038	857	rus_news_2007_00216503
16037	Но как Кремль представляет себе это на деле?	Y	кремль	2387	    1,652	0.0038	565.25	rus_news_2007_00208049
16038	Однако сразу же выяснилось, что за ним и Кремль, и правоохранительные органы.	Y	кремль	2387	    1,652	0.0038	710.4545	rus_news_2010_00937670
16039	Вопрос только в том, как далеко готов пойти Кремль.	Y	кремль	2387	    1,652	0.0038	772.3333	rus_news_2010_00388784
16040	Путин имеет все шансы вернуться в Кремль в 2012 году.	Y	кремль	2387	    1,652	0.0038	802.75	rus_news_2010_00024734
16041	Можно, разумеется, обратиться в Кремль и напрямую.	Y	кремль	2387	    1,652	0.0038	1305.4286	rus_news_2009_00587752
16042	По каким причинам — у нас пока информации нет».	Y	причинам	2387	    1,652	0.0038	521.375	rus_news_2009_00531765
16043	Это трудно, по всем тем причинам, которые вам очень хорошо известны.	Y	причинам	2387	    1,652	0.0038	685.9091	rus_news_2007_00047803
16044	Но уже по каким-то другим причинам.	Y	причинам	2387	    1,652	0.0038	687.8571	rus_news_2010_00277866
16045	Однако по некоторым причинам этого не происходит.	Y	причинам	2387	    1,652	0.0038	771.2857	rus_news_2007_00239211
16046	Мы знаем, где это произошло, по каким причинам.	Y	причинам	2387	    1,652	0.0038	821.5	rus_news_2010_00831664
16047	Значит, это можно сделать в такой перспективе, - считает российский президент.	Y	перспективе	2388	    1,651	0.0038	439.8	rus_news_2009_00747931
16048	В перспективе, видимо, будет и это, но не сегодня.	Y	перспективе	2388	    1,651	0.0038	465	rus_news_2009_00413611
16049	В перспективе, скорее всего, так и произойдет, но ждать этого момента придется не год и не два.	Y	перспективе	2388	    1,651	0.0038	631.2	rus_news_2010_00030652
16050	Однако в перспективе можно ожидать новых решений в этой области.	Y	перспективе	2388	    1,651	0.0038	727.4444	rus_news_2010_00295394
16051	Предполагается, что в перспективе этот показатель будет только расти.	Y	перспективе	2388	    1,651	0.0038	829.1111	rus_news_2009_00137178
16052	Если да, то с какого времени и на сколько дней?	Y	какого	2389	    1,650	0.0038	407.1	rus_news_2007_00080252
16053	О сезоне какого именно года идет речь, не сообщается.	Y	какого	2389	    1,650	0.0038	650.5556	rus_news_2009_00937289
16054	Ясно, какого времени и сил требует такое развитие мировой ситуации.	Y	какого	2389	    1,650	0.0038	811.1	rus_news_2010_00347450
16055	На территории какого-нибудь Казахстана живут русские, на другой территории живет кто-то еще.	Y	какого	2389	    1,650	0.0038	988.25	rus_news_2007_00767401
16056	С какого века мы будем считать образование европейских государств?	Y	какого	2389	    1,650	0.0038	1132.6667	rus_news_2007_00206839
16057	И все же шаг этот имеет для нашей страны особое значение.	Y	особое	2389	    1,650	0.0038	576.7273	rus_news_2009_00094735
16058	К нам - тоже особое внимание, потому что мы большая страна и по территории, и по численности населения.	Y	особое	2389	    1,650	0.0038	611.9333	rus_news_2010_00867164
16059	Однако в отношении Украины существует особое мнение.	Y	особое	2389	    1,650	0.0038	657.1429	rus_news_2009_00892973
16060	Премьер отметил, что у государства к космосу, как и прежде, особое отношение, передает НТВ.	Y	особое	2389	    1,650	0.0038	703.3571	rus_news_2010_00285447
16061	Я думаю, что эта дата имеет особое значение для нашей страны.	Y	особое	2389	    1,650	0.0038	731	rus_news_2007_00172687
16062	Не исключено, что эти системы ПРО все же будут там установлены.	Y	установлены	2389	    1,650	0.0038	525.0909	rus_news_2009_00163943
16063	В настоящее время причины пожара пока не установлены.	Y	установлены	2389	    1,650	0.0038	704.625	rus_news_2007_00247561
16064	Можно ли сегодня сказать, что установлены причины этого ЧП?	Y	установлены	2389	    1,650	0.0038	760.6667	rus_news_2007_00265989
16065	Причины пожара тоже будут установлены позднее, - сказал собеседник агентства.	Y	установлены	2389	    1,650	0.0038	925.5556	rus_news_2007_00330806
16066	Спасатели продолжают работу на месте ЧП, причины взрыва пока не установлены.	Y	установлены	2389	    1,650	0.0038	1077.8182	rus_news_2010_00051546
16067	Его финал состоится 12 июня в день города.	Y	финал	2389	    1,650	0.0038	497.7143	rus_news_2010_00135211
16068	Мы очень рады, что в итоге второй раз подряд вышли в финал, - заметил первый вице-президент ЦСКА.	Y	финал	2389	    1,650	0.0038	737.0625	rus_news_2007_00291753
16069	 А кто вышел в «финал» вместе с вами?	Y	финал	2389	    1,650	0.0038	793.625	rus_news_2007_00885359
16070	Матч за третье место и финал пройдут 23 мая.	Y	финал	2389	    1,650	0.0038	896.25	rus_news_2010_00741489
16071	Московский ЦСКА первым из всех команд вышел в Финал четырех.	Y	финал	2389	    1,650	0.0038	1047.2	rus_news_2009_00792445
16072	Впрочем, церковь об этом пока не говорит.	Y	церковь	2389	    1,650	0.0038	465.5714	rus_news_2010_00079769
16073	Они говорят, пусть церковь будет, но не на месте школы, а рядом.	Y	церковь	2389	    1,650	0.0038	528.1667	rus_news_2007_00744313
16074	На мой взгляд, Церковь не должна этого делать.	Y	церковь	2389	    1,650	0.0038	676	rus_news_2009_00764059
16075	Собственно говоря, Церковь – это и есть мы.	Y	церковь	2389	    1,650	0.0038	795.1429	rus_news_2009_00420445
16076	Какая страна, какой народ, такая и церковь.	Y	церковь	2389	    1,650	0.0038	1053.2857	rus_news_2009_00822490
16077	Украина будет членом ЕС, это лишь вопрос времени, - заявил он.	Y	членом	2389	    1,650	0.0038	379	rus_news_2007_00903817
16078	Сейчас он у себя дома и является членом нашей команды, - сказал глава Чечни.	Y	членом	2389	    1,650	0.0038	485.6154	rus_news_2010_00567875
16079	Вместе с тем он пока останется членом парламента.	Y	членом	2389	    1,650	0.0038	634.375	rus_news_2007_00361952
16080	Был членом совета директоров Российского банка реконструкции и развития.	Y	членом	2389	    1,650	0.0038	799.3333	rus_news_2007_00546155
16081	Израиль в самом деле хочет стать членом ЕС?	Y	членом	2389	    1,650	0.0038	887.25	rus_news_2009_00892243
