ORDER	SENTENCE	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
1	Die hat es in sich. Mehr..	die	1	1,607,139	3.4298	19.3333	german_de_news_2015_00320394
2	Die gibt es aber seit mehr als 40 Jahren.	die	1	1,607,139	3.4298	47.25	german_de_news_2014_00319284
3	Aber noch ist die Zeit ja nicht ganz um.	die	1	1,607,139	3.4298	61.1111	german_de_news_2013_00017305
4	Was sollen die auch dort?	die	1	1,607,139	3.4298	77.4	german_de_news_2013_00924225
5	Die USA wollen sich jedoch Zeit lassen.	die	1	1,607,139	3.4298	123.8571	german_de_news_2014_00377896
6	Nach wie vor ist der… »	der	2	1,497,314	3.1954	22.6	german_de_news_2013_00727515
7	Und er ist nicht aus der Welt.	der	2	1,497,314	3.1954	38.2857	german_de_news_2013_00872300
8	In der EU sind es nur 60 Prozent.	der	2	1,497,314	3.1954	48.8571	german_de_news_2014_00584921
9	Wäre es nicht an der Zeit?	der	2	1,497,314	3.1954	61.8333	german_de_news_2013_00916534
10	Der werde dann schon einmal kommen.	der	2	1,497,314	3.1954	114.5	german_de_news_2015_00276249
11	Und das ist es auch.	und	3	  984,511	2.101	10.6	german_de_news_2015_00831606
12	Und es werden immer mehr.	und	3	  984,511	2.101	36.6	german_de_news_2014_00845639
13	Und das auch schon für unter 14 jährige.	und	3	  984,511	2.101	50.5714	german_de_news_2014_00840684
14	Und er macht das gut.	und	3	  984,511	2.101	66.6	german_de_news_2015_00835557
15	Und zwar etwa ab 15 Uhr.	und	3	  984,511	2.101	109.6	german_de_news_2013_00883229
16	Sie haben sich auch in das..	in	4	  843,995	1.8012	18	german_de_news_2013_00807741
17	Von der drei in die vier oder wie?	in	4	  843,995	1.8012	47.75	german_de_news_2013_00903664
18	In Deutschland waren es 27 Prozent.	in	4	  843,995	1.8012	61.4	german_de_news_2015_00584073
19	Das muss ich in diesem Jahr machen.	in	4	  843,995	1.8012	72.4286	german_de_news_2014_00192333
20	Wir leben ja nicht in einer anderen Welt!	in	4	  843,995	1.8012	96.25	german_de_news_2015_00927508
21	Und das ist es auch.	das	5	  590,960	1.2612	10.6	german_de_news_2015_00831606
22	Aber auch das ist noch nicht alles.	das	5	  590,960	1.2612	39.5714	german_de_news_2013_00009758
23	Oder wie sagt man das?	das	5	  590,960	1.2612	52.6	german_de_news_2014_00723405
24	So geht das seit Jahren.	das	5	  590,960	1.2612	65.2	german_de_news_2015_00784514
25	Das wäre doch eine ganz andere Welt.	das	5	  590,960	1.2612	109.2857	german_de_news_2014_00209565
26	War das auch in den 1970er-Jahren so?	den	6	  538,042	1.1482	30	german_de_news_2013_00916189
27	Aber den gibt es schon.	den	6	  538,042	1.1482	40	german_de_news_2013_00011919
28	Wegen den Euro, was war das?	den	6	  538,042	1.1482	57.1667	german_de_news_2013_00925836
29	In den USA ist man da weiter.	den	6	  538,042	1.1482	67	german_de_news_2015_00577470
30	Der 78-Jährige ist zum ersten Mal in seinem Leben in den USA.	den	6	  538,042	1.1482	92.4545	german_de_news_2015_00233504
31	Was es mit dem auf sich hat?	mit	7	  453,641	0.9681	22.8571	german_de_news_2014_00893713
32	Und mit der Zeit immer mehr.	mit	7	  453,641	0.9681	45.6667	german_de_news_2014_00848476
33	Und was sie mit uns machen.	mit	7	  453,641	0.9681	60.5	german_de_news_2014_00852348
34	Wer mit sich selbst und der Welt.	mit	7	  453,641	0.9681	70.5714	german_de_news_2015_00908291
35	Jetzt geht’s mit ihm zu Ende.	mit	7	  453,641	0.9681	106	german_de_news_2013_00645279
36	So gibt es von den.	von	8	  450,338	0.9611	30.2	german_de_news_2013_00823402
